Fecha,Marca,Net_Revenue,Status,Cluster,Client_ID,Tier,City,Economic_Index,Luxury_Hype,Modelo,Material,Color,Estado_General,Año_Fabricacion,Has_Box,Has_Papers,Antiguedad
2024-01-22 14:20:00.765372,Louis Vuitton,2307.0,Completed,Standard,CL-694722,VIC (Top 1%),Marbella,,,Multi Pochette Accessoires,Monogram,Gold,B - Buen estado,2025,False,True,0
2024-01-22 14:20:00.765372,Celine,1986.0,Completed,Standard,CL-997950,VIC (Top 1%),Palma,,,Ava Bag,Triomphe Canvas,Gold,N - Nuevo,2025,False,False,0
2024-01-22 14:20:00.765372,Louis Vuitton,2488.0,Completed,Standard,CL-175121,VIC (Top 1%),Marbella,,,Pochette Métis,Monogram Reverse,Etoupe,A - Excelente,2023,False,True,1
2024-01-22 14:20:00.765372,Fendi,3173.0,Completed,Standard,CL-462764,Gold (Recurrente),Getxo,,,Baguette 1997,Zucca Canvas,Beige Trench,A - Excelente,2022,False,False,2
2024-01-22 14:20:00.765372,Louis Vuitton,2083.0,Completed,Standard,CL-503912,Gold (Recurrente),Madrid,,,Multi Pochette Accessoires,Monogram,Beige Trench,A - Excelente,2022,True,True,2
2024-01-23 14:20:00.765372,Chanel,5095.0,Completed,High_End,CL-121115,Gold (Recurrente),Madrid,0.9865011177585492,0.9009619514358912,Wallet on Chain (WOC),Caviar,Gold,N - Nuevo,2025,True,True,0
2024-01-23 14:20:00.765372,Prada,3770.0,Completed,Standard,CL-324850,VIC (Top 1%),Palma,0.9865011177585492,0.9009619514358912,Galleria Saffiano Small,Saffiano,Craie,N - Nuevo,2019,True,False,5
2024-01-24 14:20:00.765372,Celine,4892.0,Completed,Standard,CL-709211,VIC (Top 1%),Palma,0.9885403025559212,1.003228315530221,Triomphe Classique,Shiny Calf,Negro,N - Nuevo,2024,False,True,0
2024-01-24 14:20:00.765372,Louis Vuitton,5542.0,Completed,Standard,CL-959784,VIC (Top 1%),Marbella,0.9885403025559212,1.003228315530221,Capucines BB,Taurillon,Negro,A - Excelente,2021,True,False,3
2024-01-26 14:20:00.765372,Prada,1969.0,Completed,Standard,CL-201348,VIC (Top 1%),Marbella,0.9541127301244507,1.0527043758289616,Re-Edition 2005,Re-Nylon,Rouge H,A - Excelente,2021,False,True,3
2024-01-27 14:20:00.765372,Louis Vuitton,1984.0,Completed,Standard,CL-197935,VIC (Top 1%),Marbella,1.0039450889456578,1.035565859935962,Alma BB,Epi Leather,Verde,A - Excelente,2021,True,False,3
2024-01-27 14:20:00.765372,Fendi,2727.0,Completed,Standard,CL-510622,VIC (Top 1%),Marbella,1.0039450889456578,1.035565859935962,Fendi First Small,Nappa,Gold,B - Buen estado,2020,True,False,4
2024-01-27 14:20:00.765372,Louis Vuitton,2803.0,Completed,Standard,CL-267618,VIP Platinum (Alto Valor),Alcobendas,1.0039450889456578,1.035565859935962,Pochette Métis,Monogram Reverse,Negro,N - Nuevo,2020,False,False,4
2024-01-28 14:20:00.765372,Celine,4896.0,Completed,Standard,CL-690837,Gold (Recurrente),Oleiros,1.0375145376888806,0.9600421168196775,Triomphe Classique,Shiny Calf,Negro,N - Nuevo,2025,False,False,0
2024-01-29 14:20:00.765372,Louis Vuitton,1767.0,Completed,Standard,CL-455011,VIC (Top 1%),Alcobendas,1.0304216141730798,0.9270143665348805,Speedy 25 Bandoulière,Damier Ebene,Craie,A - Excelente,2020,False,True,4
2024-01-30 14:20:00.765372,Louis Vuitton,1804.0,Completed,Standard,CL-834275,VIC (Top 1%),Palma,1.0390672380579713,0.814465980370984,Speedy 25 Bandoulière,Damier Ebene,Gold,AB - Muy bueno,2023,False,True,1
2024-01-30 14:20:00.765372,Fendi,3244.0,Completed,Standard,CL-500687,VIC (Top 1%),Palma,1.0390672380579713,0.814465980370984,Fendi First Small,Nappa,Negro,A - Excelente,2020,True,False,4
2024-01-30 14:20:00.765372,Chanel,4785.0,Completed,High_End,CL-472914,Gold (Recurrente),Oleiros,1.0390672380579713,0.814465980370984,Chanel 19 Large,Goatskin,Gris Asfalto,B - Buen estado,2018,True,False,6
2024-01-31 14:20:00.765372,Gucci,3221.0,Completed,Standard,CL-912804,Gold (Recurrente),Madrid,1.0347200157727665,0.7656529852614673,Horsebit 1955,GG Supreme,Craie,N - Nuevo,2023,False,True,1
2024-01-31 14:20:00.765372,Fendi,2818.0,Completed,Standard,CL-949808,VIC (Top 1%),Marbella,1.0347200157727665,0.7656529852614673,Baguette 1997,Zucca Canvas,Gris Asfalto,A - Excelente,2018,False,False,6
2024-02-01 14:20:00.765372,Hermès,3570.0,Completed,High_End,CL-515294,VIC (Top 1%),Marbella,0.9925249471132708,0.701722991472806,Evelyne III PM,Clemence,Craie,A - Excelente,2023,True,False,1
2024-02-02 14:20:00.765372,Louis Vuitton,5542.0,Completed,Standard,CL-560406,VIC (Top 1%),Marbella,0.9939224295489412,0.6,Capucines BB,Taurillon,Verde,A - Excelente,2024,False,False,0
2024-02-02 14:20:00.765372,Fendi,5241.0,Completed,Standard,CL-422266,VIC (Top 1%),Marbella,0.9939224295489412,0.6,Peekaboo ISeeU Small,Selleria,Beige Trench,AB - Muy bueno,2025,False,False,0
2024-02-02 14:20:00.765372,Prada,1825.0,Completed,Standard,CL-253304,VIC (Top 1%),Palma,0.9939224295489412,0.6,Re-Edition 2005,Re-Nylon,Gold,AB - Muy bueno,2019,True,False,5
2024-02-02 14:20:00.765372,Louis Vuitton,1600.0,Completed,Standard,CL-605532,Gold (Recurrente),Oleiros,0.9939224295489412,0.6,Alma BB,Epi Leather,Azul Marino,AB - Muy bueno,2024,False,False,0
2024-02-05 14:20:00.765372,Louis Vuitton,3108.0,Completed,Standard,CL-368118,Gold (Recurrente),Madrid,0.9976278831972024,0.6,Onthego GM,Giant Monogram,Beige Trench,AB - Muy bueno,2025,True,True,0
2024-02-05 14:20:00.765372,Louis Vuitton,2234.0,Completed,Standard,CL-855745,VIC (Top 1%),Palma,0.9976278831972024,0.6,Onthego GM,Giant Monogram,Gold,B - Buen estado,2021,True,True,3
2024-02-05 14:20:00.765372,Louis Vuitton,7046.0,Completed,Standard,CL-481210,VIC (Top 1%),Marbella,0.9976278831972024,0.6,Capucines BB,Taurillon,Gris Asfalto,N - Nuevo,2021,True,False,3
2024-02-06 14:20:00.765372,Louis Vuitton,1815.0,Completed,Standard,CL-309478,VIP Platinum (Alto Valor),Madrid,1.018791771814037,0.6,Neverfull MM,Monogram,Gold,AB - Muy bueno,2021,False,False,3
2024-02-06 14:20:00.765372,Louis Vuitton,2116.0,Completed,Standard,CL-172813,VIC (Top 1%),Palma,1.018791771814037,0.6,Pochette Métis,Monogram Reverse,Negro,B - Buen estado,2025,True,True,0
2024-02-06 14:20:00.765372,Hermès,3339.0,Completed,High_End,CL-102166,VIC (Top 1%),Marbella,1.018791771814037,0.6,Picotin Lock 18,Clemence,Gris Asfalto,A - Excelente,2024,False,False,0
2024-02-07 14:20:00.765372,Dior,2695.0,Completed,High_End,CL-243562,VIC (Top 1%),Marbella,0.9749258825526343,0.6,Book Tote Medium,Toile de Jouy,Negro,B - Buen estado,2023,False,True,1
